TrialNumber,TrialType,Score,Match,Miss,FalseAlarm,ReactionTime,CurrentLetter,NBack1,NBack2
3,1,1,1,0,0,0.409026541015635,1,1,1
4,1,1,1,0,0,0.888460344921867,1,1,1
5,1,0,0,1,0,0,1,1,1
6,0,0,0,0,0,0,4,1,1
7,0,0,0,0,0,0,2,4,1
8,0,0,0,0,0,0,7,2,4
9,1,1,1,0,0,0.834248080273426,2,7,2
10,1,1,1,0,0,0.880381010449213,7,2,7
11,0,0,0,0,0,0,3,7,2
12,1,1,1,0,0,0.438653916992195,7,3,7
13,0,0,0,0,0,0,6,7,3
14,0,0,0,0,0,0,1,6,7
15,0,0,0,0,0,0,0,1,6
16,0,0,0,0,0,0,5,0,1
17,1,1,1,0,0,0.640208154687485,0,5,0
18,0,0,0,0,0,0,13,0,5
19,0,0,0,0,1,-1,0,13,0
20,1,1,1,0,0,0.59899337734376,13,0,13
21,0,0,0,0,1,-1,0,13,0
22,1,1,1,0,0,0.871282663671877,13,0,13
23,1,1,1,0,0,0.850855961523422,0,13,0
24,0,0,0,0,0,0,3,0,13
25,1,1,1,0,0,0.480550873535151,0,3,0
26,0,0,0,0,0,0,10,0,3
27,0,0,0,0,1,-1,3,10,0
28,0,0,0,0,0,0,10,3,10
29,0,0,0,0,1,-1,3,10,3
30,1,0,0,1,0,0,10,3,10
31,0,0,0,0,0,0,10,10,3
32,1,0,0,1,0,0,10,10,10
33,0,0,0,0,0,0,11,10,10
34,0,0,0,0,0,0,11,11,10
35,0,0,0,0,0,0,8,11,11
36,1,0,0,1,0,0,14,8,11
37,0,0,0,0,0,0,3,14,8
38,1,0,0,1,0,0,11,3,14
39,0,0,0,0,0,0,13,11,3
40,0,0,0,0,0,0,14,13,11
41,1,0,0,1,0,0,10,14,13
42,0,0,0,0,0,0,9,10,14
43,0,0,0,0,0,0,5,9,10
44,1,0,0,1,0,0,3,5,9
45,0,0,0,0,0,0,3,3,5
46,0,0,0,0,0,0,0,3,3
47,0,0,0,0,0,0,9,0,3
48,0,0,0,0,0,0,12,9,0
49,0,0,0,0,0,0,1,12,9
50,0,0,0,0,0,0,1,1,12
