Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Time,Trigger,Trial,Grab
-55.57795,15.53921,0.1257662,0,0,0,0,-1,-1,-1
-55.57795,15.53921,0.1257662,0,0,0,0,-1,-1,-1
-55.52197,15.57353,0.06291791,4.501219,0.1221162,-1.642859,0.02,-1,-1,-1
-55.52197,15.57353,0.06291791,4.501219,0.1221162,-1.642859,0.03668142,-1,-1,-1
-55.48936,15.45965,-0.07097338,-0.2975343,-0.9591377,-0.9384809,0.05336283,-1,-1,-1
-55.43227,15.42166,-0.1307769,1.274884,-0.02075846,-0.4418643,0.07004425,-1,-1,-1
-55.23652,15.38366,-0.2360305,16.85478,-1.760823,-7.419908,0.0867575,-1,-1,-1
-55.04058,15.34563,-0.3410428,2.56404,-1.315221,-2.252184,0.1034894,-1,-1,-1
-54.95716,15.23898,-0.3205242,4.500842,-13.36815,13.39887,0.1201708,-1,-1,-1
-54.95716,15.23898,-0.3205242,4.500842,-13.36815,13.39887,0.1368522,-1,-1,-1
-54.90386,15.02968,-0.1569476,0.2366943,-0.6239169,0.7251263,0.1535667,-1,-1,-1
-54.84659,14.99161,-0.2164764,0.3253191,-4.923095,-5.37345,0.1702481,-1,-1,-1
-54.84555,14.91933,-0.2132725,-0.3831975,-1.391753,-1.367496,0.1869295,-1,-1,-1
-54.80024,14.84311,-0.3096799,-3.169,-10.0817,-9.764011,0.2036476,-1,-1,-1
-54.73088,14.84311,-0.3321994,-0.0497468,-0.1584627,-0.1534899,0.220329,-1,-1,-1
-54.73088,14.84311,-0.3321994,-0.0497468,-0.1584627,-0.1534899,0.2370104,-1,-1,-1
-54.67347,14.80498,-0.3916127,0.1187739,-1.277417,-1.404636,0.2537731,-1,-1,-1
-54.68543,14.76683,-0.4285202,-0.2839092,-0.9996023,-0.9761783,0.2704545,-1,-1,-1
-54.69845,14.80102,-0.468692,-0.01163534,-0.04096733,-0.04000742,0.2871359,-1,-1,-1
-54.71146,14.83524,-0.5088506,-1.177607,3.0963,-3.6346,0.3038603,-1,-1,-1
-54.72447,14.86947,-0.5489959,-0.6073893,1.599134,-1.874618,0.3205417,-1,-1,-1
-54.72447,14.86947,-0.5489959,-0.6073893,1.599134,-1.874618,0.3372231,-1,-1,-1
-54.70055,14.94575,-0.4751662,0.2220645,0.7106858,0.6853692,0.3539488,-1,-1,-1
-54.63112,14.94575,-0.4976447,10.36027,0.02912648,-3.321062,0.3706302,-1,-1,-1
-54.63112,14.94575,-0.4976447,0.7327203,0.0008672804,-0.2361496,0.3873116,-1,-1,-1
-54.63112,14.94575,-0.4976447,0.02181773,2.582444E-05,-0.007031672,0.403993,-1,-1,-1
-54.56168,14.94575,-0.5200947,15.76518,2.94319E-07,-5.093705,0.420709,-1,-1,-1
-54.21437,14.94575,-0.6319162,18.89895,8.763744E-09,-6.063341,0.4374087,-1,-1,-1
-54.21437,14.94575,-0.6319162,18.89895,8.763744E-09,-6.063341,0.454136,-1,-1,-1
-53.51907,14.94575,-0.8534159,5.633117,0,-1.781756,0.4708174,-1,-1,-1
-53.15944,14.98387,-0.9260493,17.43837,0.7012152,-4.727361,0.4875295,-1,-1,-1
-52.81129,14.98387,-1.034987,29.78971,0.02873834,-9.257236,0.5042413,-1,-1,-1
-52.48787,15.05238,-1.223795,24.96957,6.287163,-15.82428,0.5209227,-1,-1,-1
-51.7817,15.22397,-1.660983,24.17369,11.75322,-22.41468,0.5376232,-1,-1,-1
-51.7817,15.22397,-1.660983,24.17369,11.75322,-22.41468,0.5543046,-1,-1,-1
-49.53931,15.84524,-3.114345,86.20987,22.9619,-53.75431,0.570986,-1,-1,-1
