Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Time,Trigger,Trial,Grab
16.86133,-37.41336,28.59643,0,0,0,0,-1,-1,-1
16.85496,-37.42441,28.64925,-1.508847,-2.613298,12.50594,0,-1,-1,-1
16.85496,-37.42441,28.64925,-0.7964659,-1.379466,6.601435,0.02,-1,-1,-1
16.85496,-37.42441,28.64925,-0.7964659,-1.379466,6.601435,0.033032,-1,-1,-1
16.85496,-37.42441,28.64925,-0.7964659,-1.379466,6.601435,0.0341018,-1,-1,-1
16.85496,-37.42441,28.64925,-0.003488228,-0.006041554,0.02891186,0.0392182,-1,-1,-1
16.85496,-37.42441,28.64925,-0.003488228,-0.006041554,0.02891186,0.0405674,-1,-1,-1
16.85496,-37.42441,28.64925,-0.003488228,-0.006041554,0.02891186,0.0463034,-1,-1,-1
16.85496,-37.42441,28.64925,-0.003488228,-0.006041554,0.02891186,0.054488,-1,-1,-1
16.85837,-37.47078,28.62099,0.4536462,-6.171592,-3.760004,0.0610114,-1,-1,-1
16.85837,-37.47078,28.62099,0.4536462,-6.171592,-3.760004,0.0686396,-1,-1,-1
16.85837,-37.47078,28.62099,0.4536462,-6.171592,-3.760004,0.075183,-1,-1,-1
16.77254,-37.57207,28.85,-1.23103,-2.179391,9.73598,0.0825819,-1,-1,-1
16.77254,-37.57207,28.85,-1.23103,-2.179391,9.73598,0.0888919,-1,-1,-1
16.77254,-37.57207,28.85,-1.23103,-2.179391,9.73598,0.0952681,-1,-1,-1
16.74119,-37.73006,29.11073,-1.735071,-3.087723,14.42928,0.1031654,-1,-1,-1
16.74119,-37.73006,29.11073,-1.735071,-3.087723,14.42928,0.1095534,-1,-1,-1
16.74119,-37.73006,29.11073,-1.735071,-3.087723,14.42928,0.1171991,-1,-1,-1
16.72551,-37.80877,29.24118,-0.4878999,-1.189079,4.057931,0.1239219,-1,-1,-1
16.72551,-37.80877,29.24118,-0.4878999,-1.189079,4.057931,0.1303416,-1,-1,-1
16.72551,-37.80877,29.24118,-0.4878999,-1.189079,4.057931,0.1378829,-1,-1,-1
16.71618,-37.87663,29.31879,-0.1946464,-0.3288037,1.618906,0.1441306,-1,-1,-1
16.71618,-37.87663,29.31879,-0.1946464,-0.3288037,1.618906,0.1515153,-1,-1,-1
