TrialNumber,TrialType,RequiredResponse,StopSignalTime,Match,Miss,WrongArrow,ReactionTime
1,1,0,390,1,0,0,0
2,0,1,-1,1,0,0,0.454639093261733
3,0,1,-1,1,0,0,0.452608696972675
4,1,1,330,1,0,1,0.51104921523438
5,0,1,-1,0,1,1,0.529596377832036
6,0,1,-1,1,0,0,0.46102680009767
7,0,0,-1,1,0,0,0.404338503906274
8,0,0,-1,1,0,0,0.417712362597683
9,0,0,-1,0,1,1,0.932751289160137
10,1,1,350,0,0,1,0.401169838085934
11,1,0,160,0,0,1,0.440595889550764
12,0,1,-1,1,0,0,0.451190473242207
13,0,0,-1,1,0,0,0.412387755566385
14,1,1,310,0,0,1,0.421417049121089
15,1,1,400,0,0,1,0.491335828222645
16,0,0,-1,0,1,1,0.598686412695315
17,0,1,-1,1,0,0,0.478348746972642
18,0,0,-1,1,0,0,0.406541425585942
19,1,1,120,0,0,1,0.46973153828128
20,0,1,-1,0,1,1,0.591687170507839
21,0,0,-1,0,1,1,0.512153447753917
22,0,1,-1,1,0,0,0.327048108886743
23,0,1,-1,1,0,0,0.336815047949244
24,0,0,-1,1,0,0,0.319829220019528
25,1,1,380,0,0,1,0.409913743359368
26,0,0,-1,1,0,0,0.410985190332042
27,0,1,-1,1,0,0,0.430413113378904
28,0,0,-1,1,0,0,0.369611190722651
29,0,0,-1,1,0,0,0.390572413867176
30,0,1,-1,1,0,0,0.499915916601537
31,0,0,-1,0,1,1,0.542600024804699
32,0,0,-1,1,0,0,0.427303517968767
33,1,0,190,1,0,0,0
34,0,0,-1,1,0,0,0.387886885546891
35,0,1,-1,1,0,0,0.412103782324209
36,1,0,190,0,0,1,0.430673735742175
37,0,1,-1,1,0,0,0.43812643378908
38,0,1,-1,0,1,1,0.512224800000013
39,0,1,-1,1,0,0,0.461652832617176
40,0,1,-1,1,0,0,0.407789600195315
