Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Time,Trigger,Trial,Grab
46.06297,-32.08533,10.86257,48.72042,-33.86319,-6.812115,0,-1,-1,-1
47.41843,-33.20984,10.57205,38.45427,-41.53794,-13.76271,0,-1,-1,-1
47.50699,-33.35086,10.51285,38.86396,-39.3595,-12.22982,0.02,-1,-1,-1
47.50699,-33.35086,10.51285,38.86396,-39.3595,-12.22982,0.0257836,-1,-1,-1
47.50699,-33.35086,10.51285,38.86396,-39.3595,-12.22982,0.0268983,-1,-1,-1
47.50699,-33.35086,10.51285,38.86396,-39.3595,-12.22982,0.034239,-1,-1,-1
47.50699,-33.35086,10.51285,38.86396,-39.3595,-12.22982,0.0352183,-1,-1,-1
48.24152,-34.24632,10.19559,27.18237,-44.82234,-18.50332,0.0413432,-1,-1,-1
48.24152,-34.24632,10.19559,27.18237,-44.82234,-18.50332,0.0492467,-1,-1,-1
48.24152,-34.24632,10.19559,27.18237,-44.82234,-18.50332,0.0562003,-1,-1,-1
48.69363,-35.1185,9.881623,36.59037,-56.25659,-21.83671,0.0640473,-1,-1,-1
48.69363,-35.1185,9.881623,36.59037,-56.25659,-21.83671,0.0709793,-1,-1,-1
48.69363,-35.1185,9.881623,36.59037,-56.25659,-21.83671,0.0787422,-1,-1,-1
49.08723,-35.9264,9.53159,20.63631,-32.84012,-12.62972,0.0856616,-1,-1,-1
49.08723,-35.9264,9.53159,20.63631,-32.84012,-12.62972,0.0932843,-1,-1,-1
49.44176,-36.49855,9.312157,20.83858,-38.29773,-15.44408,0.1006498,-1,-1,-1
49.44176,-36.49855,9.312157,20.83858,-38.29773,-15.44408,0.1072918,-1,-1,-1
49.44176,-36.49855,9.312157,20.83858,-38.29773,-15.44408,0.1150809,-1,-1,-1
49.92831,-37.4201,9.133862,15.44747,-47.43598,-5.287458,0.1217947,-1,-1,-1
49.92831,-37.4201,9.133862,15.44747,-47.43598,-5.287458,0.1300134,-1,-1,-1
49.92831,-37.4201,9.133862,15.44747,-47.43598,-5.287458,0.137124,-1,-1,-1
50.37292,-38.83339,9.320757,8.455797,-67.17672,-1.957571,0.1453213,-1,-1,-1
50.37292,-38.83339,9.320757,8.455797,-67.17672,-1.957571,0.152242,-1,-1,-1
50.58687,-40.05549,9.553096,7.941272,-91.67242,15.6685,0.1598722,-1,-1,-1
50.58687,-40.05549,9.553096,7.941272,-91.67242,15.6685,0.1668119,-1,-1,-1
50.58687,-40.05549,9.553096,7.941272,-91.67242,15.6685,0.1736063,-1,-1,-1
50.94539,-42.24035,9.781433,7.184981,-105.3331,-3.77653,0.1812028,-1,-1,-1
50.94539,-42.24035,9.781433,7.184981,-105.3331,-3.77653,0.1886455,-1,-1,-1
50.94539,-42.24035,9.781433,7.184981,-105.3331,-3.77653,0.1966351,-1,-1,-1
51.24643,-44.30986,9.517519,16.5583,-104.2595,-20.61449,0.2032016,-1,-1,-1
51.24643,-44.30986,9.517519,16.5583,-104.2595,-20.61449,0.2112559,-1,-1,-1
51.24643,-44.30986,9.517519,16.5583,-104.2595,-20.61449,0.2179978,-1,-1,-1
51.58391,-46.46887,8.696212,13.62498,-97.18288,-41.03573,0.225208,-1,-1,-1
51.58391,-46.46887,8.696212,13.62498,-97.18288,-41.03573,0.2327319,-1,-1,-1
51.79103,-47.84036,8.055179,14.47803,-89.9534,-44.79695,0.2395074,-1,-1,-1
51.79103,-47.84036,8.055179,14.47803,-89.9534,-44.79695,0.2474913,-1,-1,-1
51.79103,-47.84036,8.055179,14.47803,-89.9534,-44.79695,0.2542222,-1,-1,-1
52.07954,-49.46226,7.162203,7.787156,-59.14774,-24.10146,0.2622009,-1,-1,-1
52.07954,-49.46226,7.162203,7.787156,-59.14774,-24.10146,0.2690223,-1,-1,-1
52.07954,-49.46226,7.162203,7.787156,-59.14774,-24.10146,0.2761525,-1,-1,-1
52.18697,-50.4344,6.829723,6.708056,-52.50756,-20.76164,0.2833767,-1,-1,-1
52.18697,-50.4344,6.829723,6.708056,-52.50756,-20.76164,0.2903534,-1,-1,-1
52.18697,-50.4344,6.829723,6.708056,-52.50756,-20.76164,0.2982025,-1,-1,-1
52.26055,-51.15767,6.601999,2.099459,-29.36334,-6.49789,0.3050528,-1,-1,-1
52.26055,-51.15767,6.601999,2.099459,-29.36334,-6.49789,0.3129409,-1,-1,-1
52.29211,-51.4096,6.504293,0.8903883,-7.401703,-2.755779,0.3195688,-1,-1,-1
52.29211,-51.4096,6.504293,0.8903883,-7.401703,-2.755779,0.3274309,-1,-1,-1
52.29211,-51.4096,6.504293,0.8903883,-7.401703,-2.755779,0.3342553,-1,-1,-1
52.31726,-51.61129,6.426481,0.08536866,-0.689639,-0.2642187,0.3410788,-1,-1,-1
