Index,Type,Side,PosX,PosY,PosZ,WaitTime,Angle,Force
0,2,1,8.19,-14.77,0.72,1.35,11.55,19.12
1,5,0,-9.61,-15.89,-0.34,2.88,-10.12,18.05
2,0,1,9.02,-14.11,0.91,1.07,12.78,19.77
3,3,0,-8.88,-15.34,-0.55,2.14,-10.60,18.41
4,1,1,9.45,-15.60,0.21,1.72,12.30,19.33
5,4,0,-8.03,-14.05,-0.82,2.56,-11.08,18.99
6,0,1,9.87,-14.99,0.50,1.99,10.45,19.50
7,2,0,-9.22,-15.51,-0.11,1.15,-12.95,18.22
8,5,1,8.55,-14.33,0.37,2.30,11.88,19.85
9,3,1,9.99,-15.01,-0.69,1.60,10.80,18.66
10,1,0,-8.11,-15.75,0.85,2.95,-12.01,19.95
11,4,0,-9.35,-14.40,-0.40,1.44,-10.25,18.18
12,0,1,9.11,-15.90,0.15,2.77,11.33,19.25
13,2,0,-9.70,-14.15,-0.99,1.01,-12.50,18.70
14,5,1,8.60,-15.22,0.61,2.05,10.70,19.40
15,3,1,9.50,-14.88,-0.25,1.50,11.90,19.05
16,1,0,-8.44,-15.05,0.45,2.45,-10.55,18.55
17,4,0,-9.95,-14.66,-0.75,1.80,-12.85,19.60
18,0,1,8.30,-15.40,0.90,1.25,11.10,18.33
19,2,0,-9.05,-15.99,0.20,2.65,-10.05,19.90
20,5,1,9.25,-14.00,-0.10,1.18,12.45,18.01
21,3,1,8.01,-15.10,0.70,2.20,10.95,19.55
22,1,0,-9.50,-14.75,-0.30,1.75,-12.11,18.80
23,4,0,-8.70,-15.25,0.55,2.00,-10.38,19.30
24,0,1,9.60,-14.50,-0.88,1.30,12.65,18.50
25,2,1,8.40,-15.80,0.05,2.50,11.75,19.70
26,5,0,-8.20,-14.20,0.60,1.90,-10.85,18.28
27,3,1,9.90,-15.55,-0.45,1.40,12.20,19.00
28,1,0,-9.15,-14.95,0.35,2.80,-10.40,18.65
29,4,1,8.75,-14.44,-0.95,1.65,12.90,19.80
30,0,0,-8.50,-15.70,0.10,2.10,-11.00,18.45
31,2,1,9.30,-15.30,0.78,1.05,10.18,19.48
32,5,0,-9.80,-14.10,-0.60,2.35,-12.35,19.15
33,3,1,8.05,-14.65,0.40,1.70,10.65,18.38
34,1,0,-8.65,-15.80,-0.15,2.90,-11.85,19.99
35,4,1,9.40,-15.99,0.95,1.55,10.50,18.75
36,0,0,-8.30,-14.30,-0.80,2.70,-12.18,19.08
37,2,1,9.75,-15.00,0.25,1.20,10.30,18.25
38,5,0,-9.20,-15.65,0.58,2.08,-12.60,19.58
39,3,1,8.80,-14.10,-0.38,1.85,10.90,18.88
40,1,0,-9.90,-14.50,0.80,2.40,-12.75,19.35
41,4,1,9.55,-15.45,-0.70,1.11,10.08,18.60
42,0,0,-8.01,-15.15,0.18,2.55,-11.40,19.72
43,2,0,-9.45,-14.85,-0.92,1.78,-12.25,18.48
44,5,1,8.25,-15.75,0.65,2.99,10.78,19.92
45,3,0,-8.75,-14.48,-0.10,1.39,-11.95,19.28
46,1,1,9.00,-15.05,0.52,2.25,10.58,18.15
47,4,0,-9.00,-15.30,-0.48,1.68,-12.05,19.65
48,0,1,9.80,-14.25,0.88,2.03,10.42,18.90
49,2,0,-8.55,-15.90,0.30,1.52,-12.40,18.79
